id,labels,popularity,name,username
4nZ4dv1XvDE25Lf2MFhOqA,Release,,,
01GR4NL5O5CZM51k0aejKD,Release,,,
6ZvDJs17O3woQirttKRYCG,Release,,,
4JPguzRps3kuWDD5GS6oXr,Release,,,
26VFTg2z8YR0cCuwLzESi2,Artist,84.0,,
3rnRG8mHzOpShNNJpYQQDR,Release,,,
7KNg6zJEM8HZTOzklQEjWA,Release,,,
1o8ExR66PcMb1h8a1nhi9k,Release,,,
1ysohK5wUmM4hDTvGUzR0Z,Release,,,
1hlapolkCnQLMgKcKNVCuc,Release,,,
5gnbGc6VR6SeHCbx0DV67s,Release,,,
5ZvnIKEq0HAwDHNR8f2yIx,Release,,,
5OZJflQcQCdZLQjtUudCin,Release,,,
5U5rt98q8Jqx4lP3RdqYfO,Release,,,
6KImCVD70vtIoJWnq6nGn3,Artist,85.0,,
5r36AJ6VOJtp00oxSkBZ5h,Release,,,
6rePArBMb5nLWEaY9aQqL4,Release,,,
7xV2TzoaVc0ycW7fwBwAml,Release,,,
1FZKIm3JVDCxTchXDo5jOV,Release,,,
3Isy6kedDrgPYoTS1dazA9,Artist,85.0,,
368,Genre,,dancehall,
1aYcfMrpGIuPNZhDWMJcnV,Release,,,
1hVo8fqEJffd9IjV8gHjQ5,Release,,,
6PhA24O96EevdscPi01NTv,Release,,,
5xrOcCoO3jkXRjHQjfESM6,Release,,,
6b909CnOynPoB3X8xcIAhp,Release,,,
4AYXhebGFYlUU4Fh0LLTIB,Release,,,
25o3xNsjPJahI22xQENaPd,Release,,,
3jqDuoBmiE8oDJ079xxzez,Release,,,
32Bu3ETQhR1PFCj3ndDlYf,Release,,,
6Y5344aCqHNxQNAUStzHrd,Release,,,
699OTQXzgjhIYAHMy9RyPD,Artist,91.0,,
380,Genre,,rage rap,
7sFZGbkCitoqQz7Rt3LoKg,Release,,,
0fSfkmx0tdPqFYkJuNX74a,Release,,,
2QRedhP5RmKJiJ1i8VgDGR,Release,,,
7dAm8ShwJLFm9SaJ6Yc58O,Release,,,
4rJgzzfFHAVFhCSt2P4I3j,Release,,,
1jpUMnKpRlng1OJN7LJauV,Release,,,
5oMLrgmPNs35zhR38X6ET4,Release,,,
3PhoLpVuITZKcymswpck5b,Artist,85.0,,
3bfgBQwwP00KPKz6QmsNYz,Release,,,
0N5UdJXj3N2Bjg5KnPAVHQ,Release,,,
3O52AkvWUCF7MfkfLfnobb,Release,,,
2n7B7svtcYIrYJFtYREauV,Release,,,
6NhOx6UV8nYDgrzPquDFLh,Release,,,
7nXmwymeNTvJd1CnpEugH2,Release,,,
1hBjd4MuIWjv6uwik1bA68,Release,,,
1lqdOJ9M0EnXx9cf5moz1B,Release,,,
4ZnbmpRdl8H0JW8e4ReSt7,Release,,,
1hBowxbDuRdbm5NouddGgq,Release,,,
1kurxs9vQ6MCevaoVeI0HY,Release,,,
5GAGfiaxn35fhwQlBGFgpf,Release,,,
7y0I0jpXSxe3XxCAvYECEI,Release,,,
7ndxdHA40ZLx0jH0V6fjz9,Release,,,
1IkLYWnY2NNZjpE0z7m3EH,Release,,,
7ptAfRrbwr8pzM1oeUsRea,Release,,,
5WbC2jwkdiRD3lcgC2SAHa,Release,,,
0j12QW17dkUCCI7eOAiT1r,Release,,,
6eUKZXaKkcviH0Ku9w2n3V,Artist,92.0,,
0EXubpxzIR0IoPJCCvJNDZ,Release,,,
6X5nYddBsYWFHQvhN6SGDK,Release,,,
6LJWMUVW2N2vvshxq3XCS6,Release,,,
0xuxPr53iRlhWCu7QqHH24,Release,,,
572Rt1N8EW6yMEEQ298qQJ,Release,,,
0OmYuz9hwn1XoqmDaU0yJ7,Release,,,
6u0a1IJnnqEqiIamPssH7G,Release,,,
415,Genre,,soft pop,
3YeviehXlWgJWcwFMog39Y,Release,,,
6uIizyHYBxUUp3I76LQ8cV,Release,,,
182ZedDKRayJwwTY2mSyoW,Release,,,
3nCMMolz1wMdEIwlf0SbZp,Release,,,
20g5sHWiEQito005JQ73NB,Release,,,
0XsM7TdicJh19osmKPUoR2,Release,,,
4ObsEU7mIXbo2n9A31yfds,Release,,,
01sJklSgqDgyR7nlhnRcFA,Release,,,
4UcpKa4yD9AA3iEHI8MFSF,Release,,,
2R5dzEQT6MDsnwiZSpWgqC,Release,,,
5WupqgR68HfuHt3BMJtgun,Release,,,
1reJ8DttK5EGwdyf7y9FBR,Release,,,
30ey65p5ZWsi82MsferipB,Release,,,
2ei2X6ghPnw7YRwQtAH075,Release,,,
2OZbaW9tgO62ndm375lFZr,Release,,,
4oQROC3cT21c88hQWQF47s,Release,,,
0vtGlwsZHmQEfyDzZoP9Jg,Release,,,
69P9Ro0W286yLFgYwrGVN0,Release,,,
5ZewPP4nTMtJTn4krePB2d,Release,,,
0rltHMsoYTrr0U7m1O35uY,Release,,,
2AWW5zXJBwLeroqj9D5oWV,Release,,,
3fMbdgg4jU18AjLCKBhRSm,Artist,86.0,,
57TzZhbqvYoUBzJSVKFVlG,Release,,,
54WFfZzds26NrwcmStfamd,Release,,,
7pomP86PUhoJpY3fsC0WDQ,Release,,,
24TAupSNVWSAHL0R7n71vm,Release,,,
5S7ySBYbWKsZdVYQrNtrWf,Release,,,
1C2h7mLntPSeVYciMRTF4a,Release,,,
52E4RP7XDzalpIrOgSTgiQ,Release,,,
0RNsFWWdiz1rrdLI1pwbvJ,Release,,,
3OBhnTLrvkoEEETjFA3Qfk,Release,,,
0oX4SealMgNXrvRDhqqOKg,Release,,,
3Us57CjssWnHjTUIXBuIeH,Release,,,
2ANVost0y2y52ema1E9xAZ,Release,,,
2ZytN2cY4Zjrr9ukb2rqTP,Release,,,
3dZ91ooVpNEdukDWuNzbpZ,Release,,,
6o7W0hkHepZ2cDBF4gJsEg,Release,,,
5xD1PSd5c5APDM0SdkkqnH,Release,,,
3j7pUFDRub9Q5NztcYKyaR,Release,,,
6pam66S3gqDo0Yy4cjlR9G,Release,,,
4YRxDV8wJFPHPTeXepOstw,Artist,93.0,,
457,Genre,,hindi pop,
458,Genre,,bollywood,
459,Genre,,desi,
460,Genre,,bangla pop,
63OVAw3XKXePV928emHvUa,Release,,,
0os2iPNHyo2yBFi4A8RKXB,Release,,,
2WcskJsPOs5HuFHicXlbcU,Release,,,
7nwUTtRTuz7ZvJAIJRkF9p,Release,,,
2Aa7I2sffdVuuBtR97VBV1,Release,,,
1upLfaShcnjVjey0FdY7aO,Release,,,
0JWpJ4hPD4WX0FO6c5sz8s,Release,,,
6L8x1JeBN5nXqZFcEVCy5N,Release,,,
68fMXL8ncgfgzpEQ16HJu8,Release,,,
0RGri1OR1Q1bk4KfebKL1r,Release,,,
6DvVZhAWnyDONavY4Pgx0P,Release,,,
2VWrRAATHV9VNV9sG3qFfr,Release,,,
4xeWDuTiI7eEyMiQAtVBp3,Release,,,
1hlbiG3q18W4Jd923StCif,Release,,,
1QOwvBk3LNWAaEvARxPDNd,Release,,,
4NHLAi6QtsGDbUbLl8srLB,Release,,,
7vMWh9urOORyyFjwV4Drs4,Release,,,
6oE20B7dnXUthc6pOorJJC,Release,,,
5bLE2kmkZWlzAYeb6To6LA,Release,,,
6HYp2yulQUYrEb1RvLfMj8,Release,,,
6BnRf8fttKY98wU5XTU6xN,Release,,,
2mgAQPRBawMyJ1N6jGWWPF,Release,,,
1WwkojG9sjMSrFVz4D51W0,Release,,,
7kSY0fqrPep5vcwOb1juye,Release,,,
7ByzvLaUbfQycIrJvbGudU,Release,,,
2YaXI6bDmITYHmPTCCGEkW,Release,,,
2GICr5p81pM3Z0T9BJFb1o,Release,,,
35MkN8qsxx5KEELxxISsak,Release,,,
7Mo501T1gG3ETYKFCxR5YE,Release,,,
2eKYIKV83kh2m2Xbdm95F4,Release,,,
2in4xZhjkZ8Kt2cifZ9z1o,Release,,,
3vDKxt5LedHOk5FDJHgJmA,Release,,,
1pbdCW1f3bVwqRd2toq4kC,Release,,,
6LqNN22kT3074XbTVUrhzX,Artist,84.0,,
5LXOgcszGvUkYzYL4v6wYg,Release,,,
0kjnLvCvaGwRDJ53kvdqi9,Release,,,
5hOFWwfkeWetTEnMTbX4q9,Release,,,
4HZ195qaMlhiKebUtF36ni,Release,,,
1IYVB8NfiRqhdZlTxjspNh,Release,,,
5ZQB1ZQ2Yx9YT3nZlR2Pgu,Release,,,
0pGumY11G8OGH05ti6jh23,Release,,,
502,User,,,amy_crawford96
503,User,,,stacey_matthews15
504,User,,,douglas_bryant17
505,User,,,christian_miller96
506,User,,,zachary_stanley14
507,User,,,anne_berry38
